Type,pi,Machine,Part,Card_ID,User_ID,Time,Date
SHOT,counter01,102,4002345A,294138555920,Test3,13:27:06,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:27:10,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:27:14,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:27:18,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:27:22,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:27:26,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:27:31,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:27:34,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:27:37,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:27:40,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:27:44,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:27:47,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:27:51,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:27:58,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:28:01,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:28:05,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:28:09,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:28:12,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:28:18,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:28:20,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:28:34,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:28:38,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:28:41,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:28:45,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:28:48,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:28:52,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:28:54,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:28:57,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:29:02,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:29:07,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:29:12,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:29:15,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:29:18,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:29:21,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:29:24,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:29:30,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:29:34,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:29:39,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:29:42,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:29:47,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:29:49,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:29:54,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:29:56,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:29:59,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:30:02,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:30:06,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:30:11,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:30:16,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:30:20,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:30:24,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:30:29,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:30:32,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:30:48,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:30:51,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:30:55,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:31:00,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:31:04,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:31:08,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:31:59,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:32:09,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:32:12,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:32:15,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:32:20,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:32:23,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:32:28,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:32:31,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:32:35,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:32:37,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:32:40,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:32:45,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:32:47,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:32:50,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:32:55,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:32:59,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:33:08,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:33:11,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:33:14,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:33:20,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:33:23,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:33:28,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:33:33,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:33:36,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:33:39,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:33:46,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:33:51,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:33:55,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:33:58,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:34:02,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:34:06,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:34:09,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:34:14,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:34:17,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:34:22,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:34:25,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:34:30,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:34:34,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:34:40,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:34:42,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:34:46,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:34:51,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:34:54,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:34:58,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:35:01,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:35:05,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:35:10,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:35:15,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:35:18,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:35:21,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:35:24,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:35:30,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:35:32,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:35:35,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:35:38,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:35:42,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:35:47,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:35:50,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:35:54,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:35:57,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:36:01,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:36:07,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:36:10,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:36:19,2021-03-13
SHOT,counter01,102,4002345A,294138555920,Test3,13:36:23,2021-03-13
